num_of_players,num_of_gifts,value_noise_ratio,algorithm,random_seed,total_value,min_value,runtime
3,6,0.0,qp_max_min_allocation,0,2949,865,0.0535503001883626
3,6,0.0,qp_max_min_allocation,1,2476,786,0.03927049972116947
3,6,0.0,qp_max_min_allocation,2,2044,94,0.03232170036062598
3,6,0.0,qp_max_min_allocation,3,2860,757,0.04509689984843135
3,6,0.0,qp_max_min_allocation,4,1783,491,0.04244349990040064
3,6,0.0,santa_claus_main,0,3422,907,0.14896769961342216
3,6,0.0,santa_claus_main,1,3259,868,0.1334314001724124
3,6,0.0,santa_claus_main,2,3856,94,0.11027640011161566
3,6,0.0,santa_claus_main,3,2860,936,0.12589009990915656
3,6,0.0,santa_claus_main,4,2295,491,0.11322339996695518
3,8,0.0,qp_max_min_allocation,0,2115,473,0.06796080013737082
3,8,0.0,qp_max_min_allocation,1,1071,65,0.07529469998553395
3,8,0.0,qp_max_min_allocation,2,4313,1109,0.038713499903678894
3,8,0.0,qp_max_min_allocation,3,2542,741,0.04227119963616133
3,8,0.0,qp_max_min_allocation,4,2454,739,0.0349481999874115
3,8,0.0,santa_claus_main,0,4677,1338,0.15625680005177855
3,8,0.0,santa_claus_main,1,3642,203,0.13496649963781238
3,8,0.0,santa_claus_main,2,4313,1131,0.126012799795717
3,8,0.0,santa_claus_main,3,3965,863,0.13648239988833666
3,8,0.0,santa_claus_main,4,2547,739,0.1268711998127401
3,10,0.0,qp_max_min_allocation,0,3974,989,0.04281960008665919
3,10,0.0,qp_max_min_allocation,1,1959,508,0.03971309959888458
3,10,0.0,qp_max_min_allocation,2,2218,355,0.028635799884796143
3,10,0.0,qp_max_min_allocation,3,2954,839,0.022050400264561176
3,10,0.0,qp_max_min_allocation,4,1947,491,0.030109699815511703
3,10,0.0,santa_claus_main,0,5699,1808,0.30249400017783046
3,10,0.0,santa_claus_main,1,4930,508,0.2177051999606192
3,10,0.0,santa_claus_main,2,5343,355,0.14655030006542802
3,10,0.0,santa_claus_main,3,5201,839,0.16485460009425879
3,10,0.0,santa_claus_main,4,2637,659,0.16918040020391345
3,12,0.0,qp_max_min_allocation,0,2842,912,0.058650000020861626
3,12,0.0,qp_max_min_allocation,1,0,0,0.11937870038673282
3,12,0.0,qp_max_min_allocation,2,6411,1851,0.06137710018083453
3,12,0.0,qp_max_min_allocation,3,4506,1262,0.030751199927181005
3,12,0.0,qp_max_min_allocation,4,2752,739,0.03832599986344576
3,12,0.0,santa_claus_main,0,7055,2229,0.3824374000541866
3,12,0.0,santa_claus_main,1,5875,138,0.3218081002123654
3,12,0.0,santa_claus_main,2,6926,2023,0.7166070998646319
3,12,0.0,santa_claus_main,3,5890,1460,0.2800706997513771
3,12,0.0,santa_claus_main,4,3612,1065,0.6051982999779284
3,14,0.0,qp_max_min_allocation,0,6426,1869,0.032372099813073874
3,14,0.0,qp_max_min_allocation,1,3848,982,0.061452100053429604
3,14,0.0,qp_max_min_allocation,2,4997,1293,0.04220299981534481
3,14,0.0,qp_max_min_allocation,3,5996,1869,0.05332010006532073
3,14,0.0,qp_max_min_allocation,4,4621,1466,0.05343479989096522
3,14,0.0,santa_claus_main,0,8708,1869,1.5613210001029074
3,14,0.0,santa_claus_main,1,6932,1873,2.3628862001933157
3,14,0.0,santa_claus_main,2,8487,2168,1.0266085001640022
3,14,0.0,santa_claus_main,3,6835,2130,2.7191325002349913
3,14,0.0,santa_claus_main,4,4849,1457,2.5373323000967503
4,6,0.0,qp_max_min_allocation,0,3380,777,0.0666720001026988
4,6,0.0,qp_max_min_allocation,1,1654,65,0.0575374998152256
4,6,0.0,qp_max_min_allocation,2,2928,94,0.0318142999894917
4,6,0.0,qp_max_min_allocation,3,2726,558,0.07970739994198084
4,6,0.0,qp_max_min_allocation,4,1398,106,0.07257669977843761
4,6,0.0,santa_claus_main,0,3422,777,0.1322630001232028
4,6,0.0,santa_claus_main,1,3259,65,0.12789580039680004
4,6,0.0,santa_claus_main,2,3856,94,0.12824440002441406
4,6,0.0,santa_claus_main,3,2860,607,0.16870200028643012
4,6,0.0,santa_claus_main,4,2295,406,0.13295770017430186
4,8,0.0,qp_max_min_allocation,0,3027,473,0.0722456001676619
4,8,0.0,qp_max_min_allocation,1,0,0,0.11259789997711778
